nu,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19,u_20,u_21,u_22,u_23,u_24
1.191,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439143675,0.6557913846,-0.06350368043,-0.2230657638,1.523188312,1.714754823,0.9291214691,0.2360832772,0,1.300122548,1.443752449,0.6635283314,-0.05206816534,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.193,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439169912,0.6558126885,-0.06349383493,-0.2230657638,1.523188312,1.714788692,0.9291509606,0.2360952073,0,1.300122548,1.443774252,0.6635406002,-0.05207451332,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.195,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439196073,0.6558339285,-0.06348402118,-0.2230657638,1.523188312,1.714822458,0.9291803577,0.2361070947,0,1.300122548,1.443795985,0.6635528237,-0.05208084813,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.197,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.43922216,0.6558551048,-0.06347423903,-0.2230657638,1.523188312,1.714856124,0.9292096607,0.2361189395,0,1.300122548,1.443817649,0.6635650023,-0.05208716981,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.199,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439248172,0.6558762177,-0.06346448833,-0.2230657638,1.523188312,1.714889688,0.9292388702,0.2361307421,0,1.300122548,1.443839245,0.6635771361,-0.05209347839,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.201,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.43927411,0.6558972675,-0.06345476894,-0.2230657638,1.523188312,1.714923153,0.9292679866,0.2361425026,0,1.300122548,1.443860773,0.6635892255,-0.05209977389,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.203,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439299974,0.6559182545,-0.06344508069,-0.2230657638,1.523188312,1.714956518,0.9292970103,0.2361542212,0,1.300122548,1.443882232,0.6636012705,-0.05210605635,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.205,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439325765,0.6559391789,-0.06343542346,-0.2230657638,1.523188312,1.714989783,0.9293259417,0.2361658982,0,1.300122548,1.443903624,0.6636132716,-0.0521123258,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.207,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439351482,0.6559600411,-0.06342579709,-0.2230657638,1.523188312,1.71502295,0.9293547814,0.2361775337,0,1.300122548,1.443924948,0.6636252288,-0.05211858227,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.209,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439377126,0.6559808412,-0.06341620144,-0.2230657638,1.523188312,1.715056018,0.9293835297,0.2361891281,0,1.300122548,1.443946205,0.6636371425,-0.0521248258,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
1.211,0.761594156,0.5385283922,4.663419227e-17,-0.5385283922,-0.761594156,1.300122548,1.439402698,0.6560015796,-0.06340663635,-0.2230657638,1.523188312,1.715088989,0.929412187,0.2362006814,0,1.300122548,1.443967396,0.6636490129,-0.05213105641,-0.2230657638,0.761594156,0.5385283922,1.399025768e-16,-0.5385283922,-0.761594156
